,TSHZ3-chr19-31768568,TP53-chr17-7577548,TOX-chr8-59851979,STRN-chr2-37105068,SPEN-chr1-16258997,SPEN-chr1-16202934,PTPRD-chr9-10074741,PRKCB-chr16-24230186,PIK3CG-chr7-106508397,NRAS-chr1-115258747,NR4A3-chr9-102595561,NR3C2-chr4-149357051,MYH11-chr16-15917267,MN1-chr22-28193785,LRP1B-chr2-141609298,LINGO2-chr9-29178757,LINGO2-chr9-29123273,LINGO2-chr9-29117698,LINGO2-chr9-28778389,LINGO2-chr9-28064983,LAMB4-chr7-107732769,IL7R-chr5-35876645,IL21R-chr16-27448836,HELZ-chr17-65119071,FUS-chr16-31193877,FHIT-chr3-60412480,F8-chrX-154157378,EPHB6-chr7-142566125,CIITA-chr16-11002009,CHN1-chr2-175779934,CDK4-chr12-58144548,ATR-chr3-142269072,ATP7B-chr13-52534322,APC-chr5-112175328,APC-chr5-112164646,ALK-chr2-29416591
MA-25,66,843,154,2,1260,689,97,64,61,492,198,1583,118,1373,302,20,65,2,46,52,33,232,19,279,36,3,31,5,3,109,100,199,4,1533,1167,65
MA-26,149,2423,1182,13,2963,8,1,38,97,1129,88,220,117,14,616,26,43,40,14,4,0,1853,45,148,8,94,68,57,163,361,531,18,2,367,456,800
MA-27,81,1441,532,208,753,1359,11,399,1593,65,12,2,650,537,329,9,43,33,161,237,31,90,36,77,11,393,90,151,241,435,1061,67,82,179,54,973
MA-28,12,69,4,199,1131,187,34,885,26,18,210,12,91,60,61,68,432,273,103,318,121,185,20,31,210,45,689,127,2,14,863,450,37,240,188,1087
MA-29,213,559,20,5,73,265,97,481,4,104,543,444,48,16,585,55,40,71,36,109,12,24,26,280,44,40,419,252,16,95,43,781,495,9,80,1092
MA-30,56,107,103,27,104,438,5,102,100,178,5,9,624,594,19,245,163,221,32,35,28,62,184,299,84,4,3843,28,249,104,229,35,915,211,47,328
MA-31,236,52,328,545,5199,233,155,728,427,4143,70,572,451,2404,116,20,30,35,254,129,72,14,224,370,119,113,4489,27,585,45,766,165,895,239,9,4007
MA-32,65,26,614,26,694,1252,944,71,113,774,158,288,42,16,23,16,46,31,46,32,12,140,55,188,148,2,59,71,815,256,95,148,636,40,29,1390
MA-33,94,334,15,43,219,2,44,364,3,474,62,11,331,430,382,27,41,59,212,55,0,265,1,16,9,0,665,1735,1159,0,1295,705,272,444,243,1181
MA-34,124,65,453,273,7892,523,115,51,134,408,235,297,19,121,70,111,30,28,13,59,1916,677,542,81,21,124,7,229,10,6,164,135,2822,974,1481,668
MA-35,802,120,19,68,2056,190,207,212,189,1514,50,63,32,5,28,713,37,28,42,116,353,111,7,219,206,69,82,36,40,7,666,457,1813,2316,1508,11
MA-36,750,72,637,31,4418,66,229,73,840,896,39,25,184,105,8,77,131,115,238,31,13,57,47,16,72,158,38,67,408,133,119,845,800,334,868,1622
